id,name,app_track,ahd_track,type,ahd_loc,ahd_seg,direction
"575",CP-575,,,,,,
"576",CP-576,,,,,,
"577",CP-577,,,,,,
"578",CP-578,,,,,,
"579",CP-579,,,,,,
"580",CP-580,,,,,,
"581",CP-581,,,,,,
"582",CP-582,,,,,,
"583",CP-583,,,,,,
"584",CP-584,,,,,,
"585",CP-585,,,,,,
"586",CP-586,,,,,,
"587",CP-587,,,,,,
"588",CP-588,,,,,,
"589",CP-589,,,,,,
"590",CP-590,,,,,,
"591",CP-591,,,,,,
"592",CP-592,,,,,,
"593",CP-593,,,,,,
"594",CP-594,,,,,,
"595",CP-595,,,,,,
"596",CP-596,,,,,,
"597",CP-597,,,,,,
"598",CP-598,,,,,,
"599",CP-599,,,,,,
"600",CP-600,,,,,,
"601",CP-601,,,,,,
"602",CP-602,,,,,,
"603",CP-603,,,,,,
"604",CP-604,,,,,,
"605",CP-605,,,,,,
"606",CP-606,,,,,,
"607",CP-607,,,,,,
"608",CP-608,,,,,,
"609",CP-609,,,,,,
"610",CP-610,,,,,,
"611",CP-611,,,,,,
"612",CP-612,,,,,,
"613",CP-613,,,,,,
"614",CP-614,,,,,,
"615",CP-615,,,,,,
"616",CP-616,,,,,,
"617",CP-617,,,,,,
"618",CP-618,,,,,,
"619",CP-619,,,,,,
"620",CP-620,,,,,,
"621",CP-621,,,,,,
"622",CP-622,,,,,,
"623",CP-623,,,,,,
"624",CP-624,,,,,,
"625",CP-625,,,,,,
"626",CP-626,,,,,,
"627",CP-627,,,,,,
"628",CP-628,,,,,,
"629",CP-629,,,,,,
"630",CP-630,,,,,,
"631",CP-631,,,,,,
"632",CP-632,,,,,,
"633",CP-633,,,,,,
"634",CP-634,,,,,,
"635",CP-635,,,,,,
"636",CP-636,,,,,,
"637",CP-637,STA_PSNY_6,HGL_2,,,,
"638",CP-638,,,,,,
"639",CP-639,,,,,,
"640",CP-640,,,,,,
"641",CP-641,,,,,,
"642",CP-642,,,,,,
"643",CP-643,,,,,,
"644",CP-644,,,,,,
"645",CP-645,,,,,,
"646",CP-646,,,,,,
"647",CP-647,,,,,,
"648",CP-648,,,,,,
"649",CP-649,,,,,,
"650",CP-650,,,,,,
"651",CP-651,,,,,,
"652",CP-652,,,,,,
"653",CP-653,,,,,,
"654",CP-654,,,,,,
"655",CP-655,,,,,,
"656",CP-656,,,,,,
"657",CP-657,,,,,,
"658",CP-658,,,,,,
"659",CP-659,,,,,,
"660",CP-660,,,,,,
"661",CP-661,,,,,,
"662",CP-662,,,,,,
"663",CP-663,,,,,,
"664",CP-664,,,,,,
"665",CP-665,,,,,,
"666",CP-666,,,,,,
"667",CP-667,,,,,,
"668",CP-668,,,,,,
"669",CP-669,,,,,,
"670",CP-670,,,,,,
"671",CP-671,,,,,,
"672",CP-672,,,,,,
"673",CP-673,,,,,,
"674",CP-674,,,,,,
"675",CP-675,,,,,,
"676",CP-676,NJ_2,JC_4,,,,"1"
"677",CP-677,,,,,,
"678",CP-678,,,,,,
"679",CP-679,,,,,,
"680",CP-680,,,,,,
"681",CP-681,,,,,,
"682",CP-682,,,,,,
"683",CP-683,,,,,,
"684",CP-684,JC_3,NJ_2,,,,"1"
"685",CP-685,,,,,,
"686",CP-686,,,,,,
"687",CP-687,,,,,,
"688",CP-688,,,,,,
"689",CP-689,,,,,,
"690",CP-690,,,,,,
"691",CP-691,,,,,,
"692",CP-692,,,,,,
"693",CP-693,,,,,,
"694",CP-694,,,,,,
"695",CP-695,,,,,,
"696",CP-696,,,,,,
"697",CP-697,,,,,,
"698",CP-698,,,,,,
"699",CP-699,,,,,,
"700",CP-700,,,,,,
"701",CP-701,,,,,,
"702",CP-702,,,,,,
"703",CP-703,,,,,,
"704",CP-704,,,,,,
"705",CP-705,,,,,,
"706",CP-706,,,,,,
"707",CP-707,,,,,,
"708",CP-708,,,,,,
"709",CP-709,,,,,,
"710",CP-710,,,,,,
"711",CP-711,,,,,,
"712",CP-712,,,,,,
"713",CP-713,,,,,,
"714",CP-714,,,,,,
"715",CP-715,,,,,,
"716",CP-716,,,,,,
"717",CP-717,,,,,,
"718",CP-718,,,,,,
"719",CP-719,,,,,,
"720",CP-720,,,,,,
"721",CP-721,,,,,,
"722",CP-722,,,,,,
"723",CP-723,,,,,,
"724",CP-724,,,,,,
"725",CP-725,,,,,,
"726",CP-726,,,,,,
"727",CP-727,,,,,,
"728",CP-728,,,,,,
"729",CP-729,,,,,,
"730",CP-730,,,,,,
"731",CP-731,,,,,,
"732",CP-732,,,,,,
"733",CP-733,,,,,,
"734",CP-734,,,,,,
"735",CP-735,,,,,,
"736",CP-736,,,,,,
"737",CP-737,,,,,,
"738",CP-738,,,,,,
"739",CP-739,,,,,,
"740",CP-740,,,,,,
"741",CP-741,,,,,,
"742",CP-742,,,,,,
"743",CP-743,,,,,,
"744",CP-744,,,,,,
"745",CP-745,,,,,,
"746",CP-746,,,,,,
"747",CP-747,,,,,,
"748",CP-748,,,,,,
"749",CP-749,,,,,,
"750",CP-750,,,,,,
"751",CP-751,PENN_4,LIN_B,,,,
"752",CP-752,,,,,,
"753",CP-753,,,,,,
"754",CP-754,,,,,,
"755",CP-755,,,,,,
"756",CP-756,,,,,,
"757",CP-757,,,,,,
"758",CP-758,,,,,,
"759",CP-759,,,,,,
"760",CP-760,,,,,,
"761",CP-761,,,,,,
"762",CP-762,,,,,,
"763",CP-763,,,,,,
"764",CP-764,,,,,,
"765",CP-765,,,,,,
"766",CP-766,,,,,,
"767",CP-767,,,,,,
"768",CP-768,,,,,,
"769",CP-769,,,,,,
"770",CP-770,,,,,,
"771",CP-771,,,,,,
"772",CP-772,,,,,,
"773",CP-773,,,,,,
"774",CP-774,,,,,,
"775",CP-775,,,,,,
"776",CP-776,,,,,,
"777",CP-777,,,,,,
"778",CP-778,,,,,,
"779",CP-779,LIN_B,PENN_4,,,,
"780",CP-780,,,,,,
"781",CP-781,,,,,,
"782",CP-782,,,,,,
"783",CP-783,,,,,,
"784",CP-784,,,,,,
"785",CP-785,,,,,,
"786",CP-786,,,,,,
"787",CP-787,,,,,,
"788",CP-788,,,,,,
"789",CP-789,,,,,,
"790",CP-790,,,,,,
"791",CP-791,,,,,,
"792",CP-792,,,,,,
"793",CP-793,,,,,,
"794",CP-794,,,,,,
"795",CP-795,,,,,,
"796",CP-796,,,,,,
"797",CP-797,,,,,,
"798",CP-798,,,,,,
"799",CP-799,,,,,,
"800",CP-800,,,,,,
"801",CP-801,,,,,,
"802",CP-802,,,,,,
"803",CP-803,,,,,,
"804",CP-804,,,,,,
"805",CP-805,,,,,,
"806",CP-806,,,,,,
"807",CP-807,,,,,,
"808",CP-808,,,,,,
"809",CP-809,,,,,,
"810",CP-810,,,,,,
"811",CP-811,,,,,,
"812",CP-812,,,,,,
"813",CP-813,,,,,,
"814",CP-814,,,,,,
"815",CP-815,,,,,,
"816",CP-816,,,,,,
"817",CP-817,,,,,,
"818",CP-818,,,,,,
"819",CP-819,,,,,,
"820",CP-820,,,,,,
"821",CP-821,,,,,,
"822",CP-822,,,,,,
"823",CP-823,,,,,,
"824",CP-824,,,,,,
"825",CP-825,,,,,,
"826",CP-826,,,,,,
"827",CP-827,,,,,,
"828",CP-828,,,,,,
"829",CP-829,,,,,,
"830",CP-830,,,,,,
"831",CP-831,,,,,,
"832",CP-832,,,,,,
"833",CP-833,,,,,,
"834",CP-834,,,,,,
"835",CP-835,,,,,,
"836",CP-836,,,,,,
"837",CP-837,,,,,,
"838",CP-838,,,,,,
"839",CP-839,,,,,,
"840",CP-840,,,,,,
"841",CP-841,,,,,,
"842",CP-842,,,,,,
"843",CP-843,,,,,,
"844",CP-844,,,,,,
"845",CP-845,,,,,,
"846",CP-846,,,,,,
"847",CP-847,,,,,,
"848",CP-848,,,,,,
"849",CP-849,,,,,,
"850",CP-850,,,,,,
"851",CP-851,,,,,,
"852",CP-852,,,,,,
"853",CP-853,,,,,,
"854",CP-854,,,,,,
"855",CP-855,,,,,,
"856",CP-856,,,,,,
"857",CP-857,,,,,,
"858",CP-858,,,,,,
"859",CP-859,,,,,,
"860",CP-860,,,,,,
"861",CP-861,,,,,,
"862",CP-862,,,,,,
"863",CP-863,,,,,,
"864",CP-864,,,,,,
"865",CP-865,,,,,,
"866",CP-866,,,,,,
"867",CP-867,,,,,,
"868",CP-868,,,,,,
"869",CP-869,,,,,,
"870",CP-870,,,,,,
"871",CP-871,,,,,,
"872",CP-872,,,,,,
"873",CP-873,,,,,,
"874",CP-874,,,,,,
"875",CP-875,,,,,,
"876",CP-876,,,,,,
"877",CP-877,,,,,,
"878",CP-878,,,,,,
"879",CP-879,,,,,,
"880",CP-880,PENN_4,FJA_4,,,,
"881",CP-881,,,,,,
"882",CP-882,,,,,,
"883",CP-883,PENN_2,FJA_2,,,,
"884",CP-884,,,,,,
"885",CP-885,FJA_4,PENN_4,,,,
"886",CP-886,,,,,,
"887",CP-887,,,,,,
"888",CP-888,,,,,,
"889",CP-889,,,,,,
"890",CP-890,,,,,,
"891",CP-891,,,,,,
"892",CP-892,,,,,,
"893",CP-893,,,,,,
"894",CP-894,,,,,,
"895",CP-895,,,,,,
"896",CP-896,,,,,,
"897",CP-897,,,,,,
"898",CP-898,,,,,,
"899",CP-899,,,,,,
"900",CP-900,,,,,,
"901",CP-901,,,,,,
"902",CP-902,,,,,,
"903",CP-903,,,,,,
"904",CP-904,,,,,,
"905",CP-905,,,,,,
"906",CP-906,,,,,,
"907",CP-907,,,,,,
"908",CP-908,,,,,,
"909",CP-909,,,,,,
"910",CP-910,,,,,,
"911",CP-911,PENN_3,PENN_2,,,,"1"
"912",CP-912,,,,,,
"913",CP-913,,,,,,
"914",CP-914,,,,,,
"915",CP-915,,,,,,
"916",CP-916,,,,,,
"917",CP-917,PENN_2,PENN_1,,,,"1"
"918",CP-918,PENN_1,PENN_2,,,,
"919",CP-919,,,,,,
"920",CP-920,,,,,,
"921",CP-921,,,,,,
"922",CP-922,,,,,,
"923",CP-923,,,,,,
"924",CP-924,,,,,,
"925",CP-925,,,,,,
"926",CP-926,,,,,,
"927",CP-927,,,,,,
"928",CP-928,,,,,,
"929",CP-929,,,,,,
"930",CP-930,,,,,,
"931",CP-931,,,,,,
"932",CP-932,,,,,,
"933",CP-933,,,,,,
