Track_num,Section_id,Symmetry_id,radius,Curve_direction,Curve_degree,Cant,length,Track_segment,length,Track_id,Start_location,End_location
1,288,,3969,1,0.44,7,1370.314,47,1370.314,CNBY_1,96466.352,97836.666
2,289,,3969,1,0.44,7,1367.347,47,1367.347,CNBY_2,96463.933,97831.28
1,290,,,,0,,25.404,48,25.404,CNBY_1,97836.666,97862.07
2,291,,,,0,,23.639,48,23.639,CNBY_2,97831.28,97854.919
2,292,,3011,1,0.58,7,788.078,49,788.078,CNBY_2,97854.919,98642.997
1,293,,3011,1,0.58,7,788.077,49,788.077,CNBY_1,97862.07,98650.147
1,294,,,,0,,3804.546,46,3804.546,CNBY_1,92661.806,96466.352
2,295,,,,0,,3806.267,46,3806.267,CNBY_2,92657.666,96463.933
1,296,,3493,1,0.5,7,736.684,45,736.684,CNBY_1,91925.122,92661.806
2,297,,3493,1,0.5,7,736.684,45,736.684,CNBY_2,91920.982,92657.666
1,298,,,,0,,1208.591,44,1208.591,CNBY_1,90716.531,91925.122
2,299,,,,0,,1209.778,44,1209.778,CNBY_2,90711.204,91920.982
1,300,,,,0,,1109.438,42,1109.438,CNBY_1,88692.246,89801.684
2,301,,,,0,,1108.557,42,1108.557,CNBY_2,88687.799,89796.356
1,302,,3493,1,0.5,7,914.847,43,914.847,CNBY_1,89801.684,90716.531
2,303,,3493,1,0.5,7,914.848,43,914.848,CNBY_2,89796.356,90711.204
2,304,,3493,1,0.5,7,670.903,41,670.903,CNBY_2,88016.896,88687.799
1,305,,3493,1,0.5,7,670.902,41,670.902,CNBY_1,88021.344,88692.246
1,306,,,,0,,3448.668,40,3448.668,CNBY_1,84572.676,88021.344
2,307,,,,0,,3449.422,40,3449.422,CNBY_2,84567.474,88016.896
2,308,,3493,1,0.5,7,853.826,39,853.826,CNBY_2,83713.648,84567.474
1,309,,3493,1,0.5,7,853.826,39,853.826,CNBY_1,83718.85,84572.676
1,310,,,,0,,305.456,38,305.456,CNBY_1,83413.394,83718.85
2,311,,,,0,,304.838,38,304.838,CNBY_2,83408.81,83713.648
1,312,,,,0,,3158.405,36,3158.405,CNBY_1,78180.269,81338.674
2,313,,,,0,,3158.252,36,3158.252,CNBY_2,78175.838,81334.09
1,314,,4720,1,0.37,7,2074.72,37,2074.72,CNBY_1,81338.674,83413.394
2,315,,4720,1,0.37,7,2074.72,37,2074.72,CNBY_2,81334.09,83408.81
2,316,,5457,1,0.32,7,3553.841,35,3553.841,CNBY_2,74621.997,78175.838
1,317,,5457,1,0.32,7,3553.84,35,3553.84,CNBY_1,74626.429,78180.269
1,318,,,,0,,1973.549,34,1973.549,CNBY_1,72652.88,74626.429
2,319,,,,0,,1974.424,34,1974.424,CNBY_2,72647.573,74621.997
1,320,,,,0,,539.492,32,539.492,CNBY_1,71323.584,71863.076
2,321,,,,0,,541.034,32,541.034,CNBY_2,71316.735,71857.769
2,322,,3011,1,0.58,7,789.804,33,789.804,CNBY_2,71857.769,72647.573
1,323,,3011,1,0.58,7,789.804,33,789.804,CNBY_1,71863.076,72652.88
1,324,,,,0,,927.684,30,927.684,CNBY_1,66065.251,66992.935
2,325,,,,0,,923.618,30,923.618,CNBY_2,66062.467,66986.085
2,326,,4478,1,0.39,7,4330.65,31,4330.65,CNBY_2,66986.085,71316.735
1,327,,4478,1,0.39,7,4330.649,31,4330.649,CNBY_1,66992.935,71323.584
2,328,,4259,1,0.41,7,4434.199,29,4434.199,CNBY_2,61628.268,66062.467
1,329,,4259,1,0.41,7,4434.198,29,4434.198,CNBY_1,61631.053,66065.251
1,330,,,,0,,4881.854,28,4881.854,CNBY_1,56749.199,61631.053
2,331,,,,0,,4885.651,28,4885.651,CNBY_2,56742.617,61628.268
2,332,,2054,1,0.85,7,358.158,27,358.158,CNBY_2,56384.459,56742.617
1,333,,2054,1,0.85,7,358.158,27,358.158,CNBY_1,56391.041,56749.199
1,334,,,,0,,869.643,26,869.643,CNBY_1,55521.398,56391.041
2,335,,,,0,,868.94,26,868.94,CNBY_2,55515.519,56384.459
1,336,,,,0,,3696.299,24,3696.299,CNBY_1,47807.529,51503.828
2,337,,,,0,,3692.738,24,3692.738,CNBY_2,47805.21,51497.948
1,338,,3358,1,0.52,7,4017.57,25,4017.57,CNBY_1,51503.828,55521.398
2,339,,3358,1,0.52,7,4017.571,25,4017.571,CNBY_2,51497.948,55515.519
1,340,,4989,1,0.35,7,261.476,23,261.476,CNBY_1,47546.053,47807.529
2,341,,4989,1,0.35,7,261.476,23,261.476,CNBY_2,47543.734,47805.21
1,342,,,,0,,966.387,22,966.387,CNBY_1,46579.666,47546.053
2,343,,,,0,,966.182,22,966.182,CNBY_2,46577.552,47543.734
2,344,,3358,1,0.52,7,1293.766,21,1293.766,CNBY_2,45283.786,46577.552
1,345,,3358,1,0.52,7,1293.765,21,1293.765,CNBY_1,45285.901,46579.666
1,346,,,,0,,1365.546,20,1365.546,CNBY_1,43920.355,45285.901
2,347,,,,0,,1366.738,20,1366.738,CNBY_2,43917.048,45283.786
2,348,,3358,1,0.52,7,1233.47,19,1233.47,CNBY_2,42683.578,43917.048
1,349,,3358,1,0.52,7,1233.469,19,1233.469,CNBY_1,42686.886,43920.355
1,350,,4259,1,0.41,7,2635.593,17,2635.593,CNBY_1,39911.515,42547.108
2,351,,4259,1,0.41,7,2635.594,17,2635.594,CNBY_2,39908.33,42543.924
1,352,,,,0,,139.778,18,139.778,CNBY_1,42547.108,42686.886
2,353,,,,0,,139.654,18,139.654,CNBY_2,42543.924,42683.578
2,354,,,,0,,4000.204,16,4000.204,CNBY_2,35908.126,39908.33
1,355,,,,0,,3998.588,16,3998.588,CNBY_1,35912.927,39911.515
2,356,,,,0,,1469.85,14,1469.85,CNBY_2,32692.254,34162.104
1,357,,,,0,,1472.872,14,1472.872,CNBY_1,32694.034,34166.906
2,358,,3295,1,0.53,7,1746.022,15,1746.022,CNBY_2,34162.104,35908.126
1,359,,3295,1,0.53,7,1746.021,15,1746.021,CNBY_1,34166.906,35912.927
2,360,,4478,1,0.39,7,2991.515,13,2991.515,CNBY_2,29700.739,32692.254
1,361,,4478,1,0.39,7,2991.417,13,2991.417,CNBY_1,29702.617,32694.034
2,362,,2239,1,0.78,7,471.171,11,471.171,CNBY_2,28841.207,29312.378
1,363,,2239,1,0.78,7,471.171,11,471.171,CNBY_1,28845.701,29316.872
2,364,,,,0,,388.361,12,388.361,CNBY_2,29312.378,29700.739
1,365,,,,0,,385.745,12,385.745,CNBY_1,29316.872,29702.617
1,366,,,,0,,739.955,10,739.955,CNBY_1,28105.746,28845.701
2,367,,,,0,,740.431,10,740.431,CNBY_2,28100.776,28841.207
2,368,,3716,1,0.47,7,3048.53,9,3048.53,CNBY_2,25052.246,28100.776
1,369,,3716,1,0.47,7,3048.529,9,3048.529,CNBY_1,25057.217,28105.746
