Vehicle_type,Vehicle_name,a,b,c,Power,Mass,Initial_acceleration,Max_cant_deficiency,Max_speed,Signal_system,Brake_power,Brake_coefficient,Max_acc,Max_dec,Normal_dec,Capacity,Vehicle_length,Ideal_speed,Ideal_speed_var,Station_speed
1,FLIRT,212.5,0.771604938,0.003858025,2000000,123400,1.2,6,41.67,MB,2000000,0.09,1,-1,-1,500,90,5,0.1,5
2,Velaro_Novo_360,212.5,0.771604938,0.003858025,6600000,416000,0.65,6,88.89,MB,7000000,0.09,1,-1,-1,,,,,
3,Shinkansen_200Series,8.202,0.10656,0.01193,11856000,,,,,,,,,,,,,,,
