Section_id,Symmetry_id,Alternative_id,Start_location,End_location,Start_location_mile,End_location_mile,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes,,,,,
54E,54E,,61978.68,62171.76,190.48,190.36,2,0.816666667,1,1,6.25,5.25,,,7015.812245,,,,,,,
55,55,,62171.76,62638.37,190.36,190.07,2,0,,,0,,,,,,,,,,,
56,56,,62638.37,62927.99,190.07,189.89,2,3.25,0,2.25,6.25,4,,,1762.947692,,,,,,,
57,57,,62927.99,63716.4,189.89,189.4,2,0,,,0,,,,,,,,,,,
58,58,,63716.4,63989.93,189.4,189.23,2,4,1,2,6.25,4.25,,,1432.395,,,,,,,
59,59,,63989.93,64102.56,189.23,189.16,2,0,,,0,,,,,,,,,,,
60,60,,64102.56,64231.28,189.16,189.08,2,0.5,1,5.75,6.25,0.5,,,11459.16,,,,,,,
61,61,,64231.28,64343.91,189.08,189.01,2,0,,,0,,,,,,,,,,,
62,62,,64343.91,64456.54,189.01,188.94,2,0.5,0,6,6.25,0.25,,,11459.16,,,,,,,
63,63,,64456.54,65164.5,188.94,188.5,2,0,,,0,,,,,,,,,,,
64,64,,65164.5,65341.49,188.5,188.39,2,1,1,3.5,6.25,2.75,,,5729.58,,,,,,,
65,65,,65341.49,65438.03,188.39,188.33,2,0,,,0,,,,,,,,,,,
66,66,,65438.03,65615.02,188.33,188.22,2,1,1,3.87,6.25,2.38,,,5729.58,,,,,,,
67,67,,65615.02,65969,188.22,188,2,0,,,0,,,,,,,,,,,
68,68,,65969,66322.98,188,187.78,2,1,0,4.5,6.25,1.75,,,5729.58,,,,,,,
69,69,,66322.98,66757.41,187.78,187.51,2,0,,,0,,,,,,,,,,,
70,70,,66757.41,67014.85,187.51,187.35,2,1,1,3.62,6.25,2.63,,,5729.58,,,,,,,
71,71,,67014.85,67175.75,187.35,187.25,2,0,,,0,,,,,,,,,,,
72,72,,67175.75,67417.1,187.25,187.1,2,2.016666667,0,2.62,6.25,3.63,,,2841.11405,,,,,,,
73,73,,67417.1,67497.55,187.1,187.05,2,0,,,0,,,,,,,,,,,
