Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,East_bound_miles,West_bound_miles,Max_speed,Track,Is_turnaround
1,Endicott_1,,100,1,30,1,100,50,0,100,,,1,1,1
2,Dedham_1,,100,30,30,1,100,50,1550,1650,,,1,1,1
3,Islington_1,,100,30,30,1,50,25,2550,2600,,,1,1,1
4,NorwoodDepot_1,,100,30,30,1,100,50,5500,5600,,,1,1,1
5,NorwoodCentral_1,,100,30,30,1,100,50,6600,6700,,,1,1,1
6,WindsorGardens_1,,100,30,30,1,100,50,9200,9300,,,1,1,1
7,Gillete_1,,100,30,30,1,100,50,18200,18300,,,1,1,1
8,FoxboroCenter_1,,100,30,30,1,100,50,22500,22600,,,1,1,1
9,Mansfield_1,,100,1,30,1,100,50,27020,27120,,,1,1,1
