Block_id,Block_name,Length,Start_location,End_location,Max_speed,Track,Avg_grade,Description,isStop
50,Block-16-0,8976,120912,129888,60,7,,,0
51,Block-17-0,2904,129888,132792,60,7,,,0
52,Ashland_7,369.6,132792,133161.6,60,7,,Ashland_7,1
53,Block-17-2,11510.4,133161.6,144672,60,7,,,0
54,Southborough_7,369.6,144672,145041.6,60,7,,Southborough_7,1
55,Block-17-4,3854.4,145041.6,148896,60,7,,,0
56,Block-18-0,6336,148896,155232,60,7,,,0
57,Block-19-0,5808,155232,161040,70,7,,,0
58,Block-20-0,6124.8,161040,167164.8,70,7,,,0
59,Block-20-1,8659.2,167164.8,175824,60,7,,,0
60,Block-21-0,2640,175824,178464,60,7,,,0
61,Westborough_7,369.6,178464,178833.6,60,7,,Westborough_7,1
62,Block-21-2,12038.4,178833.6,190872,60,7,,,0
63,Block-21-3,1584,190872,192456,55,7,,,0
64,Grafton_7,369.6,192456,192825.6,55,7,,Grafton_7,1
65,Block-21-5,1478.4,192825.6,194304,55,7,,,0
66,Block-21-6,11616,194304,205920,70,7,,,0
67,Block-22-0,2112,205920,208032,70,7,,,0
68,Block-22-1,16896,208032,224928,55,7,,,0
69,Block-23-0,3696,224928,228624,40,7,,,0
70,Block-24-0,2112,228624,230736,40,7,,,0
71,Block-25-0,3326.4,230736,234062.4,25,7,,,0
72,Worcester_7,369.6,234062.4,234432,25,7,,Worcester_7,1
73,Block-26-0,8448,234432,242880,25,7,,,0
74,Block-27-0,8448,242880,234432,25,5,,,0
75,Block-28-0,369.6,234432,234062.4,25,5,,,0
76,Block-28-1,3326.4,234062.4,230736,25,5,,,0
77,Block-29-0,2112,230736,228624,40,5,,,0
78,Block-30-0,3696,228624,224928,40,5,,,0
79,Block-31-0,16896,224928,208032,55,5,,,0
80,Block-31-1,2112,208032,205920,70,5,,,0
81,Block-32-0,11616,205920,194304,70,5,,,0
82,Block-32-1,1478.4,194304,192825.6,55,5,,,0
83,Grafton_5,369.6,192825.6,192456,55,5,,Grafton_5,1
84,Block-32-3,1584,192456,190872,55,5,,,0
85,Block-32-4,12038.4,190872,178833.6,60,5,,,0
86,Westborough_5,369.6,178833.6,178464,60,5,,Westborough_5,1
87,Block-32-6,2640,178464,175824,60,5,,,0
88,Block-33-0,8659.2,175824,167164.8,60,5,,,0
89,Block-33-1,6124.8,167164.8,161040,70,5,,,0
90,Block-34-0,5808,161040,155232,70,5,,,0
91,Block-35-0,6336,155232,148896,60,5,,,0
92,Block-36-0,3854.4,148896,145041.6,60,5,,,0
93,Southborough_5,369.6,145041.6,144672,60,5,,Southborough_5,1
94,Block-36-2,11510.4,144672,133161.6,60,5,,,0
95,Ashland_5,369.6,133161.6,132792,60,5,,Ashland_5,1
96,Block-36-4,2904,132792,129888,60,5,,,0
97,Block-37-0,8976,129888,120912,60,5,,,0
98,Block-38-0,5596.8,120912,115315.2,55,5,,,0
99,Block-39-0,739.2,115315.2,114576,30,5,,,0
100,Framingham_5,369.6,114576,114206.4,30,5,,Framingham_5,1
101,Block-39-2,1742.4,114206.4,112464,30,5,,,0
102,Block-40-0,2006.4,112464,110457.6,30,5,,,0
103,Block-40-1,4857.6,110457.6,105600,60,5,,,0
104,WestNatick_5,369.6,105600,105230.4,60,5,,WestNatick_5,1
105,Block-40-3,6652.8,105230.4,98577.6,60,5,,,0
106,Block-41-0,5280,98577.6,93297.6,60,5,,,0
107,NatickCenter_5,316.8,93297.6,92980.8,60,5,,NatickCenter_5,1
108,Block-41-2,7180.8,92980.8,85800,60,5,,,0
109,Block-42-0,7392,85800,78408,60,5,,,0
110,WellesleySquare_5,369.6,78408,78038.4,60,5,,WellesleySquare_5,1
111,Block-42-2,3960,78038.4,74078.4,60,5,,,0
