Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
122,101,122,131736.844,131826.365,131736.844,131826.365,89.521,1,0,,,0,,,,,,
123,102,123,131826.365,132423.287,131826.365,132423.287,596.922,1,4,1,,7,,,,1432.25,,
124,103,124,132423.287,134445.79,132423.287,134445.79,2022.503,1,0,,,0,,,,,,
125,104,125,134445.79,135331.586,134445.79,135331.586,885.796,1,0.4,1,,7,,,,14322.5,,
126,105,126,135331.586,135984.3,135331.586,135984.3,652.714,1,2.6,1,,7,,,,2203.461538,,
127,106,127,135984.3,137143.646,135984.3,137143.646,1159.346,1,0,,,0,,,,,,
128,107,128,137143.646,137265.921,137143.646,137265.921,122.275,1,0,,,0,,,,,,
129,108,129,137265.921,137363.747,137265.921,137363.747,97.826,1,0,,,0,,,,,,
130,109,130,137363.747,137450.733,137363.747,137450.733,86.986,1,0,,,0,,,,,,
131,110,131,137450.733,137774.532,137450.733,137774.532,323.799,1,1.8,1,,7,,,,3182.777778,,
132,111,132,137774.532,137868.029,137774.532,137868.029,93.497,1,0,,,0,,,,,,
133,112,133,137868.029,137941.125,137868.029,137941.125,73.096,1,0,,,0,,,,,,
134,113,134,137941.125,138282,137941.125,138282,340.875,1,0,,,0,,,,,,
135,114,135,138282,138575.445,138282,138575.445,293.445,1,2,1,,7,,,,2864.5,,
136,115,136,138575.445,138865.752,138575.445,138865.752,290.307,1,0,,,0,,,,,,
137,116,137,138865.752,139766.507,138865.752,139766.507,900.755,1,0,,,0,,,,,,
138,117,138,139766.507,140294.895,139766.507,140294.895,528.388,1,1.8,1,,7,,,,3182.777778,,
139,118,139,140294.895,141028.145,140294.895,141028.145,733.25,1,0,,,0,,,,,,
140,119,140,141028.145,141250.549,141028.145,141250.549,222.404,1,1,1,,7,,,,5729,,
141,120,141,141250.549,141673.815,141250.549,141673.815,423.266,1,1,1,,7,,,,5729,,
142,121,142,141673.815,141999.126,141673.815,141999.126,325.311,1,0,,,0,,,,,,
143,122,143,141999.126,142464.383,141999.126,142464.383,465.257,1,5.2,1,,7,,,,1101.730769,,
144,123,144,142464.383,142916.042,142464.383,142916.042,451.659,1,2.9,1,,7,,,,1975.517241,,
145,124,145,142916.042,143198.554,142916.042,143198.554,282.512,1,0,,,0,,,,,,
146,125,146,143198.554,143728.608,143198.554,143728.608,530.054,1,2.9,1,,7,,,,1975.517241,,
147,126,147,143728.608,144078.33,143728.608,144078.33,349.722,1,0.4,1,,7,,,,14322.5,,
148,127,148,144078.33,144327.654,144078.33,144327.654,249.324,1,0,,,0,,,,,,
149,128,149,144327.654,144428.264,144327.654,144428.264,100.61,1,1.8,1,,7,,,,3182.777778,,
150,129,150,144428.264,144627.441,144428.264,144627.441,199.177,1,1.8,1,,7,,,,3182.777778,,
