Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes,,,,,
0,1,0,0,160.9,229,228.9,2,0,,,,,,,,,,,Track Gauge,1435 mm,4.708005,1500? Outside-outside
2,2,1,160.9,482.7,228.9,228.7,2,10.48333333,0,5.75,6.25,0.5,,,546.5418126,,Curve radius is in ft,,Allowed CD (CR),3 in,3,
3,3,2,482.7,1222.84,228.7,228.24,2,0,,,0,,,,,,,,,,,
4,4,3,1222.84,2172.15,228.24,227.65,2,3.416666667,1,6.25,6.25,0,,,1676.950244,,,,,,,
5,5,4,2172.15,2445.68,227.65,227.48,2,0,,,0,,,,,,,,FLIRT_MaxCD,5,inches,
6,6,5,2445.68,2574.4,227.48,227.4,2,0.716666667,1,6.25,6.25,0,,,7994.762791,,,,,,,
7,7,6,2574.4,2654.85,227.4,227.35,2,0,,,0,,,,,,,,,,,
8,8,7,2654.85,2735.3,227.35,227.3,2,9.5,1,4.25,6.25,2,,,603.1136842,,,,,,,
9,9,8,2735.3,2815.75,227.3,227.25,2,0,,,0,,,,,,,,,,,
10,10,9,2815.75,2976.65,227.25,227.15,2,1.133333333,0,3.25,6.25,3,,,5055.511765,,,,,,,
11,11,10,2976.65,3620.25,227.15,226.75,2,0,,,0,,,,,,,,,,,
12,12,11,3620.25,3732.88,226.75,226.68,2,0,,,0,,,,,,,,,,,
13,13,12,3732.88,3829.42,226.68,226.62,2,0,,,0,,,,,,,,,,,
14,14,13,3829.42,3958.14,226.62,226.54,2,0,,,0,,,,,,,,,,,
15,15,14,3958.14,4119.04,226.54,226.44,2,0,,,0,,,,,,,,,,,
16,16,15,4119.04,4231.67,226.44,226.37,2,0,,,0,,,,,,,,,,,
17,17,16,4231.67,4344.3,226.37,226.3,2,0,,,0,,,,,,,,,,,
18,18,17,4344.3,4424.75,226.3,226.25,2,0,,,0,,,,,,,,,,,
19,19,18,4424.75,4473.02,226.25,226.22,2,0,,,0,,,,,,,,,,,
20,20,19,4473.02,5470.6,226.22,225.6,2,1,1,1.25,6.25,5,,,5729.58,,,,,,,
21,21,20,5470.6,5711.95,225.6,225.45,2,0,,,0,,,,,,,,,,,
22,22,21,5711.95,6114.2,225.45,225.2,2,1.283333333,0,0.25,6.25,6,,,4464.607792,,,,,,,
23,23,22,6114.2,6226.83,225.2,225.13,2,0,,,0,,,,,,,,,,,
24,24,23,6226.83,6725.62,225.13,224.82,2,1.066666667,1,1.5,6.25,4.75,,,5371.48125,,,,,,,
25,25,24,6725.62,6999.15,224.82,224.65,2,0,,,0,,,,,,,,,,,
26,26,25,6999.15,7369.22,224.65,224.42,2,0.85,0,2.25,6.25,4,,,6740.682353,,,,,,,
27,27,26,7369.22,8398.98,224.42,223.78,2,0,  ,,0,,,,,,,,,,,
28,28,27,8398.98,8527.7,223.78,223.7,2,0.233333333,0,1.114736477,1.114736477,0,,,24555.34286,,,,,,,
29,29,28,8527.7,9074.76,223.7,223.36,2,0,,,0,,,,,,,,,,,
30,30,29,9074.76,9830.99,223.36,222.89,2,1.133333333,1,3.25,6.25,3,,,5055.511765,,,,,,,
31,31,30,9830.99,10201.06,222.89,222.66,2,0,,,0,,,,,,,,,,,
32,32,31,10201.06,10555.04,222.66,222.44,2,1.216666667,0,2.75,6.25,3.5,,,4709.243836,,,,,,,
33,33,32,10555.04,12872,222.44,221,2,0,,,0,,,,,,,,,,,
34,34,33,12872,13129.44,221,220.84,2,1,0,2.25,6.25,4,,,5729.58,,,,,,,
35,35,34,13129.44,20579.11,220.84,216.21,2,0,,,0,,,,,,,,,,,
36,36,35,20579.11,21206.62,216.21,215.82,2,1,1,2.12,6.25,4.13,,,5729.58,,,,,,,
37,37,36,21206.62,24231.54,215.82,213.94,2,0,,,0,,,,,,,,,,,
38A,38A,37,24231.54,24842.96,213.94,213.56,2,1.05,0,2,6.25,4.25,,,5456.742857,,,,,,,
38B,38B,38,24842.96,25454.38,213.56,213.18,2,1,0,2,6.25,4.25,,,5729.58,,,,,,,
39,39,39,25454.38,25792.27,213.18,212.97,2,0,,,0,,,,,,,,,,,
40,40,40,25792.27,26451.96,212.97,212.56,2,1,0,2,6.25,4.25,,,5729.58,,,,,,,
41,41,41,26451.96,27755.25,212.56,211.75,2,0,,,0,,,,,,,,,,,
42,42,42,27755.25,28077.05,211.75,211.55,2,1,1,2,6.25,4.25,,,5729.58,,,,,,,
43,43,43,28077.05,28785.01,211.55,211.11,2,0,,,0,,,,,,,,,,,
44,44,44,28785.01,28962,211.11,211,2,1,1,1.25,6.25,5,,,5729.58,,,,,,,
45,45,45,28962,30249.2,211,210.2,2,0,,,0,,,,,,,,,,,
46,46,46,30249.2,30619.27,210.2,209.97,2,1.066666667,1,2.25,6.25,4,,,5371.48125,,,,,,,
47,47,47,30619.27,35156.65,209.97,207.15,2,0,,,0,,,,,,,,,,,
48,48,48,35156.65,35526.72,207.15,206.92,2,1,0,1.5,6.25,4.75,,,5729.58,,,,,,,
49,49,49,35526.72,38085.03,206.92,205.33,2,0,,,0,,,,,,,,,,,
50,50,50,38085.03,38455.1,205.33,205.1,2,1,0,1.5,6.25,4.75,,,5729.58,,,,,,,
51,51,51,38455.1,54866.9,205.1,194.9,2,0,,,0,,,,,,,,,,,
52A,52A,52,54866.9,55371.05333,194.9,194.5866667,2,1.566666667,0,0.75,6.25,5.5,,,3657.178723,,,,,,,
52B,52B,53,55371.05333,55875.20667,194.5866667,194.2733333,2,1,0,0.75,6.25,5.5,,,5729.58,,,,,,,
52C,52C,54,55875.20667,56379.36,194.2733333,193.96,2,1.566666667,0,0.75,6.25,5.5,,,3657.178723,,,,,,,
53,53,55,56379.36,61206.36,193.96,190.96,2,0,,,0,,,,,,,,,,,
54A,54A,56,61206.36,61335.08,190.96,190.88,2,3.016666667,1,2.75,6.25,3.5,,,1899.308287,,,,,,,
54B,54B,57,61335.08,61544.25,190.88,190.75,2,2.833333333,1,2.75,6.25,3.5,,,2022.204706,,,,,,,
54C,54C,58,61544.25,61785.6,190.75,190.6,2,1.366666667,1,2.75,6.25,3.5,,,4192.37561,,,,,,,
54D,54D,59,61785.6,61978.68,190.6,190.48,2,1.05,1,1,6.25,5.25,,,5456.742857,,,,,,,
54E,54E,60,61978.68,62171.76,190.48,190.36,2,0.816666667,1,1,6.25,5.25,,,7015.812245,,,,,,,
55,55,61,62171.76,62638.37,190.36,190.07,2,0,,,0,,,,,,,,,,,
56,56,62,62638.37,62927.99,190.07,189.89,2,3.25,0,2.25,6.25,4,,,1762.947692,,,,,,,
57,57,63,62927.99,63716.4,189.89,189.4,2,0,,,0,,,,,,,,,,,
58,58,64,63716.4,63989.93,189.4,189.23,2,4,1,2,6.25,4.25,,,1432.395,,,,,,,
59,59,65,63989.93,64102.56,189.23,189.16,2,0,,,0,,,,,,,,,,,
60,60,66,64102.56,64231.28,189.16,189.08,2,0.5,1,5.75,6.25,0.5,,,11459.16,,,,,,,
61,61,67,64231.28,64343.91,189.08,189.01,2,0,,,0,,,,,,,,,,,
62,62,68,64343.91,64456.54,189.01,188.94,2,0.5,0,6,6.25,0.25,,,11459.16,,,,,,,
63,63,69,64456.54,65164.5,188.94,188.5,2,0,,,0,,,,,,,,,,,
64,64,70,65164.5,65341.49,188.5,188.39,2,1,1,3.5,6.25,2.75,,,5729.58,,,,,,,
65,65,71,65341.49,65438.03,188.39,188.33,2,0,,,0,,,,,,,,,,,
66,66,72,65438.03,65615.02,188.33,188.22,2,1,1,3.87,6.25,2.38,,,5729.58,,,,,,,
67,67,73,65615.02,65969,188.22,188,2,0,,,0,,,,,,,,,,,
68,68,74,65969,66322.98,188,187.78,2,1,0,4.5,6.25,1.75,,,5729.58,,,,,,,
69,69,75,66322.98,66757.41,187.78,187.51,2,0,,,0,,,,,,,,,,,
70,70,76,66757.41,67014.85,187.51,187.35,2,1,1,3.62,6.25,2.63,,,5729.58,,,,,,,
71,71,77,67014.85,67175.75,187.35,187.25,2,0,,,0,,,,,,,,,,,
72,72,78,67175.75,67417.1,187.25,187.1,2,2.016666667,0,2.62,6.25,3.63,,,2841.11405,,,,,,,
73,73,79,67417.1,67497.55,187.1,187.05,2,0,,,0,,,,,,,,,,,
74,74,80,67497.55,67658.45,187.05,186.95,2,1.683333333,1,3.25,6.25,3,,,3403.710891,,,,,,,
75,75,81,67658.45,67771.08,186.95,186.88,2,0,,,0,,,,,,,,,,,
76A,76A,82,67771.08,68007.06667,186.88,186.7333333,2,2.75,1,2.25,6.25,4,,,2083.483636,,,,,,,
76B,76B,83,68007.06667,68243.05333,186.7333333,186.5866667,2,4,1,2.25,6.25,4,,,1432.395,,,,,,,
76C,76C,84,68243.05333,68479.04,186.5866667,186.44,2,1.5,1,2.25,6.25,4,,,3819.72,,,,,,,
77,77,85,68479.04,69219.18,186.44,185.98,2,0,,,0,,,,,,,,,,,
78,78,86,69219.18,69508.8,185.98,185.8,2,1.6,0,5.12,6.25,1.13,,,3580.9875,,,,,,,
79,79,87,69508.8,69540.98,185.8,185.78,2,0,,,0,,,,,,,,,,,
80A,80A,88,69540.98,69637.52,185.78,185.72,2,9.766666667,0,4.62,6.25,1.63,,,586.6464164,,,,,,,
80B,80B,89,69637.52,69734.06,185.72,185.66,2,9.833333333,0,4.62,6.25,1.63,,,582.6691525,,,,,,,
80C,80C,90,69734.06,69959.32,185.66,185.52,2,1.483333333,0,4.62,6.25,1.63,,,3862.638202,,,,,,,
80D,80D,91,69959.32,70120.22,185.52,185.42,2,1.5,0,4.62,6.25,1.63,,,3819.72,,,,,,,
80E,80E,92,70120.22,70265.03,185.42,185.33,2,5.316666667,0,4.62,6.25,1.63,,,1077.66395,,,,,,,
80F,80F,93,70265.03,70425.93,185.33,185.23,2,5.1,0,4.62,6.25,1.63,,,1123.447059,,,,,,,
81,81,94,70425.93,70522.47,185.23,185.17,2,0,,,0,,,,,,,,,,,
82,82,95,70522.47,70667.28,185.17,185.08,2,2,1,5.12,6.25,1.13,,,2864.79,,,,,,,
83,83,96,70667.28,70828.18,185.08,184.98,2,0,,,0,,,,,,,,,,,
84A,84A,97,70828.18,70908.63,184.98,184.93,2,2.233333333,0,5,6.25,1.25,,,2565.483582,,,,,,,
84B,84B,98,70908.63,71005.17,184.93,184.87,2,2.366666667,0,5,6.25,1.25,,,2420.949296,,,,,,,
85,85,99,71005.17,71085.62,184.87,184.82,2,0,,,0,,,,,,,,,,,
86,86,100,71085.62,71246.52,184.82,184.72,2,3,1,4.62,6.25,1.63,,,1909.86,,,,,,,
87,87,101,71246.52,71423.51,184.72,184.61,2,0,,,0,,,,,,,,,,,
88A,88A,102,71423.51,71745.31,184.61,184.41,2,3,1,3.25,6.25,3,,,1909.86,,,,,,,
88B,88B,103,71745.31,72067.11,184.41,184.21,2,1.95,1,3.25,6.25,3,,,2938.246154,,,,,,,
89,89,104,72067.11,72405,184.21,184,2,0,,,0,,,,,,,,,,,
90,90,105,72405,72614.17,184,183.87,2,3.3,1,2.87,6.25,3.38,,,1736.236364,,,,,,,
91,91,106,72614.17,72742.89,183.87,183.79,2,0,,,0,,,,,,,,,,,
92A,92A,107,72742.89,72855.52,183.79,183.72,2,0.216666667,1,0.682556452,0.682556452,0,,,26444.21538,,,,,,,
92B,92B,108,72855.52,72952.06,183.72,183.66,2,0.166666667,1,0,0,0,,,34377.48,,,,,,,
93,93,109,72952.06,73885.28,183.66,183.08,2,0,,,0,,,,,,,,,,,
