Stop_name,Min_dwell,Max_dwell,Stop_id,Turn_time,Capacity,Stop_loc,East_bound_1,West_bound_1,Is_turn,Length,Track_1,Max_speed
Eddystone_4,60,60,145,30,1,57,16032.981,16590.583,1,114,DAR_4,1
Edgewood_2,60,60,46,30,1,37.5,117983.094,118104.245,1,75,SO_2,1
Edgewood_3,60,60,47,30,1,37.5,117877.731,118108.93,1,75,SO_3,1
Edison_1,60,60,241,30,1,104,32471.496,32714.109,1,208,PENN_1,1
Edison_4,60,60,242,30,1,104,33467.845,33800.228,1,208,PENN_4,1
Elizabeth_1,60,60,235,30,1,106,8394.881,8426.225,1,212,PENN_1,1
Elizabeth_4,60,60,236,30,1,106,9503.64,9529.353,1,212,PENN_4,1
Fairfield_3,60,60,79,30,1,78,16854.714,17552.837,1,156,CCT_3,1
Fairfield_4,60,60,78,30,1,78,34430.87,35146.428,1,156,MID_4,1
FairfieldMetro_3,60,60,63,30,1,155.5,13944.866,15091.088,1,311,CCT_3,1
FairfieldMetro_4,60,60,203,30,1,155.5,31593.033,32676.928,1,311,MID_4,1
Folcroft_1,60,60,147,30,1,56.5,,,1,113,CYN_1,1
Folcroft_4,60,60,146,30,1,56.5,8606.587,9668.227,1,113,DAR_4,1
Fordham_3,60,60,126,30,1,106,11879.381,12526.659,1,212,GC_3,1
Fordham_4,60,60,125,30,1,90,11871.187,11907.889,1,180,GC_4,1
ForestHills_3,60,60,324,30,1,156,7505.586,7789.234,1,312,BOS_3,1
ForestHills_5,60,60,267,30,1,156,,,1,312,NEE_5,1
Glenolden_1,60,60,252,30,1,38,,,1,76,CYN_1,1
Glenolden_4,60,60,251,30,1,64.5,9668.227,10758.667,1,129,DAR_4,1
GrandCentral_1,60,60,268,30,1,143,919.346,1061.776,1,286,STA_GC_1,1
GreensFarms_3,60,60,141,30,1,77.5,22265.145,22712.485,1,155,CCT_3,1
GreensFarms_4,60,60,140,30,1,77.5,39854.461,40302.974,1,155,MID_4,1
Greenwich_4,60,60,209,30,1,127.5,70558.722,70690.787,1,255,MID_4,1
Greenwich_5,60,60,208,30,1,127.5,10310.683,10439.716,1,255,MID_5,1
Guilford_1,60,60,92,30,1,31.5,224187.888,224777.266,1,63,BOS_1,1
Guilford_3,60,60,93,30,1,31.5,705.357,1350.827,1,63,GUI_3,1
Halethorpe_3,60,60,65,30,1,127,162805.899,163361.088,1,254,SO_3,1
Halethorpe_A,60,60,64,30,1,127,,,1,254,SO_A,1
Hamilton_1,60,60,158,30,1,158.5,71199.695,75230.738,1,317,PENN_1,1
Hamilton_4,60,60,159,30,1,158.5,72298.107,76387.945,1,317,PENN_4,1
Harlem125th_1,60,60,60,30,1,130,19529.475,20964.799,1,260,GC_1,1
Harlem125th_2,60,60,294,30,1,130,12444.741,13774.121,1,260,GC_2,1
Harlem125th_3,60,60,293,30,1,130,19516.536,19752.661,1,260,GC_3,1
Harlem125th_4,60,60,61,30,1,130,19541.278,19781.635,1,260,GC_4,1
Harrison_1,60,60,257,30,1,112,,,1,224,NWK_1,1
Harrison_3,60,60,68,30,1,129,6804.057,6933.69,1,258,MID_3,1
Harrison_3,60,60,232,30,1,108.5,,,1,217,PENN_3,1
Harrison_4,60,60,69,30,1,129,80067.588,80393.109,1,258,MID_4,1
HighlandAvenue_1,60,60,135,30,1,19.5,,,1,39,CYN_1,1
HighlandAvenue_4,60,60,134,30,1,11,21130.64,21425.828,1,22,DAR_4,1
Holmesburg_1,60,60,248,30,1,35.5,109495.732,109523.009,1,71,PENN_1,1
Holmesburg_4,60,60,247,30,1,35.5,110575.417,110607.903,1,71,PENN_4,1
HuntsPoint_3,60,60,317,30,1,145,7572.061,7801.527,1,290,PSA_3,1
HuntsPoint_5,60,60,228,30,1,145,,,1,290,PSA_5,1
HydePark_2,60,60,52,30,1,127,12828.973,12920.454,1,254,BOS_2,1
HydePark_3,60,60,53,30,1,123.5,13075.941,14288.572,1,247,BOS_3,1
