Track_num,Section_id,Curve_degree,Curve_direction,Cant,Max_speed,length,Section,Track_id,Start_loc,End_loc,Track_segment
5,1010,0.73,1,7,,767.291,CCB,CCB_5,0,767.291,0
5,1011,0.73,1,7,,466.147,CCB,CCB_5,767.291,1233.438,1
2,1012,0.73,1,7,,1192.719,CCB,CCB_2,0,1192.719,0
4,1013,0.73,1,7,,762.709,CCB,CCB_4,0,762.709,0
4,1014,0.73,1,7,,412.123,CCB,CCB_4,762.709,1174.832,1
1,1037,0,,,,253.487,PSAR,PSAR_1,0,253.487,0
2,1038,0,,,,233.028,PSAR,PSAR_2,0,233.028,0
2,1039,0,,,,165.146,PSAR,PSAR_2,233.028,398.174,1
1,1040,0,,,,115.703,PSAR,PSAR_1,253.487,369.19,1
2,1046,0,,,,102.191,HGL,HGL_2,24548.065,24650.256,56
1,1094,0,,,,43.973,STA_GC,STA_GC_1,88.323,132.296,2
1,1099,0,,,,44.159,STA_GC,STA_GC_1,0,44.159,0
1,1100,0,,,,44.164,STA_GC,STA_GC_1,44.159,88.323,1
1,1121,0,,,,97.479,STA_GC,STA_GC_1,166.745,264.224,4
1,1122,0,,,,34.449,STA_GC,STA_GC_1,132.296,166.745,3
1,1125,0,,,,43.973,STA_GC,STA_GC_1,308.207,352.18,6
1,1133,0,,,,43.983,STA_GC,STA_GC_1,264.224,308.207,5
1,1138,0,,,,85.01,STA_GC,STA_GC_1,451.014,536.024,8
1,1240,0,,,,24.219,STA_GC,STA_GC_1,704.307,728.526,10
1,1241,0,,,,168.283,STA_GC,STA_GC_1,536.024,704.307,9
1,1322,0,,,,190.82,STA_GC,STA_GC_1,728.526,919.346,11
1,1323,0,,,,142.43,STA_GC,STA_GC_1,919.346,1061.776,12
1,1351,0,,,,98.834,STA_GC,STA_GC_1,352.18,451.014,7
2,1431,3,1,7,,220.256,GC,GC_2,3092.335,3312.591,8
1,1432,0,,,,385.207,GC,GC_1,9787.957,10173.164,39
1,1450,0,,,,712.521,GC,GC_1,10394.769,11107.29,41
1,1473,0,,,,47.185,GC,GC_1,25091.243,25138.428,78
1,1474,0,,,,79.168,GC,GC_1,25012.075,25091.243,77
1,1475,0,,,,28.09,GC,GC_1,24983.985,25012.075,76
1,1476,0,,,,3662.516,GC,GC_1,21321.469,24983.985,75
1,1477,0,,,,21.516,GC,GC_1,21299.953,21321.469,74
1,1478,0,,,,19.141,GC,GC_1,21280.812,21299.953,73
1,1479,0,,,,119.229,GC,GC_1,21161.583,21280.812,72
1,1480,0,,,,34.915,GC,GC_1,21126.668,21161.583,71
1,1481,0,,,,100.95,GC,GC_1,21025.718,21126.668,70
1,1482,0,,,,38.056,GC,GC_1,20987.662,21025.718,69
1,1483,0,,,,22.863,GC,GC_1,20964.799,20987.662,68
1,1484,0,,,,1435.324,GC,GC_1,19529.475,20964.799,67
1,1485,0,,,,586.51,GC,GC_1,18942.965,19529.475,66
2,1562,0,,,,99.961,GC,GC_2,10607.077,10707.038,25
2,1563,0,,,,18.324,GC,GC_2,10707.038,10725.362,26
2,1564,0,,,,121.238,GC,GC_2,10725.362,10846.6,27
2,1565,0,,,,67.7,GC,GC_2,10846.6,10914.3,28
2,1566,0,,,,14.944,GC,GC_2,10914.3,10929.244,29
2,1567,0,,,,15.045,GC,GC_2,10929.244,10944.289,30
2,1568,0,,,,1.218,GC,GC_2,10944.289,10945.507,31
2,1569,0,,,,132.145,GC,GC_2,10945.507,11077.652,32
3,1573,9.77,1,7,,115.254,PROV,PROV_3,125.924,241.178,2
5,1574,1.48,1,7,,53.699,PROV,PROV_5,202.244,255.943,2
10,1576,0,,,,200.585,STA_TH,STA_TH_10,57.495,258.08,3
2,1578,0,,,,928.289,HGL,HGL_2,23428.866,24357.155,53
8,1579,0,,,,206.177,STA_TH,STA_TH_8,689.362,895.539,9
8,1580,0,,,,16.641,STA_TH,STA_TH_8,672.721,689.362,8
10,1605,0,,,,192.993,STA_TH,STA_TH_10,258.08,451.073,4
10,1606,0,,,,338.452,STA_TH,STA_TH_10,451.073,789.525,5
8,1607,0,,,,337.648,STA_TH,STA_TH_8,1088.783,1426.431,11
8,1608,0,,,,193.244,STA_TH,STA_TH_8,895.539,1088.783,10
10,1615,0,,,,57.079,STA_TH,STA_TH_10,789.525,846.604,6
10,1616,0,,,,41.95,STA_TH,STA_TH_10,846.604,888.554,7
3,1623,0,,,,40.509,BOS,BOS_3,0,40.509,0
3,1624,0,,,,13.669,BOS,BOS_3,40.509,54.178,1
B,1645,0.25,1,7,,554.969,LIN,LIN_B,8796.974,9351.943,11
3,1647,0,,,,192.828,ATT,ATT_3,2691.244,2884.072,2
1,1648,0.5,1,7,,642.401,NJ,NJ_1,7763.228,8405.629,9
4,1659,4.35,1,7,,76.454,NH_4,NH_4,2039.304,2115.758,13
9,1661,0,,,,7.813,STA_SS,STA_SS_9,461.711,469.524,7
9,1662,0,,,,36.902,STA_SS,STA_SS_9,424.809,461.711,6
9,1663,0,,,,6.427,STA_SS,STA_SS_9,418.382,424.809,5
9,1664,0,,,,15.734,STA_SS,STA_SS_9,402.648,418.382,4
9,1665,0,,,,15.33,STA_SS,STA_SS_9,387.318,402.648,3
9,1666,0,,,,20.263,STA_SS,STA_SS_9,490.513,510.776,9
2,1668,0,,,,222.802,HGL,HGL_2,25066.689,25289.491,61
5,1669,1.5,1,7,,492.722,ELI,ELI_5,0,492.722,0
1,1670,1.6,1,7,,78.395,BOS,BOS_1,68937.098,69015.493,116
2,1672,0,,,,83.094,HGL,HGL_2,24979.688,25062.782,59
9,1677,0,,,,20.989,STA_SS,STA_SS_9,469.524,490.513,8
7,1679,0,,,,42.219,STA_SS,STA_SS_7,469.978,512.197,6
7,1680,0,,,,99.042,STA_SS,STA_SS_7,512.197,611.239,7
