id,Name,Control_track,Ahead_track,type,Direction,Control_track_location,Control_track_segment,Ahead_track_location,Ahead_track_segment,Speed
1063,CP-1063,SO_3,CHA_3,,0,82681.22,117,0,0,89
1064,CP-1064,SO_2,CHA_2,,1,84000.266,124,1208.63,2,89
1065,CP-1065,CHA_3,SO_3,,0,1204.401,3,83358.004,121,89
1066,CP-1066,PER_2,SO_2,,1,0,0,88510.49,127,89
1067,CP-1067,SO_3,PER_3,,0,87973.545,125,0,0,89
1068,CP-1068,SO_2,PER_2,,1,89579.199,132,1481.883,2,89
1069,CP-1069,PER_3,SO_3,,0,1489.602,1,89421.689,130,89
1079,CP-1079,SO_3,HDGB_3,,0,94394.179,138,0,0,89
1080,CP-1080,SO_2,HDGB_2,,1,95892.378,137,1459.287,0,89
1082,CP-1082,HDGB_3,SO_3,,0,1541.678,1,95785.993,140,89
1087,CP-1087,ABE_4,SO_3,,0,16356.15,11,111951.019,152,89
1096,CP-1096,SO_3,SO_2,,0,124758.048,164,124729.853,158,89
1099,CP-1099,MID_1,SO_2,,1,0,0,125286.11,161,89
1131,CP-1131,SO_2,MID_1,,1,151370.056,216,26099.104,38,89
1132,CP-1132,SO_3,FDT_2,,0,151312.819,222,0,0,89
1133,CP-1133,FDT_1,SO_2,,1,0,0,151516.423,217,89
1142,CP-1142,SO_1,SO_2,,0,7.721,0,154803.246,229,89
1144,CP-1144,SO_1,FDT_1,,1,854.922,4,4686.912,6,89
1145,CP-1145,FDT_2,SO_2,,0,4714.248,10,155577.624,232,89
1176,CP-1176,SO_2,SO_1,inf,1,200670.185,304,45892.78,82,89
1183,CP-1183,SO_2,SO_3,,0,204368.58,313,204051.125,312,89
26,CP-26,CNBY_1,BOS_1,,0,113643.703,63,239952.384,361,89
1203,CP-1203,JC_4,JC_3,,0,783.101,3,1685.112,5,89
1205,CP-1205,SO_2,FDT_2,,0,151370.056,215,0,0,89
1206,CP-1206,SO_2,SO_3,,0,167512.098,255,166468.817,262,89
