Stop_id,,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,East_bound_miles,West_bound_miles,Max_speed,Track,Is_turnaround
79,,PennMedicine_2,,100,30,30,1,100,50,409087,409257,123600,123670,1,2,1
80,,Darby_2,,100,30,30,1,100,50,409687,409857,124200,124270,1,2,1
81,,CurtisPark_2,,100,30,30,1,100,50,411287,411457,125800,125870,1,2,1
82,,SharonHill_2,,100,30,30,1,100,50,412287,412457,126800,126870,1,2,1
83,,Folcroft_2,,100,30,30,1,100,50,414487,414657,129000,129070,1,2,1
84,,Glenolden_2,,100,30,30,1,100,50,415987,416157,130500,130570,1,2,1
85,,Norwood_2,,100,30,30,1,100,50,419287,419457,133800,133870,1,2,1
86,,ProspectPark_2,,100,30,30,1,100,50,422087,422257,136600,136670,1,2,1
87,,RidleyPark_2,,100,30,30,1,100,50,425937,399107,140450,113520,1,2,1
88,,CrumLynne_2,,100,30,30,1,100,50,437387,437557,151900,151970,1,2,1
89,,Eddystone_2,,100,30,30,1,100,50,449587,449757,164100,164170,1,2,1
90,,ChesterTC_2,,100,30,30,1,100,50,456487,456657,171000,171070,1,2,1
91,,HighlandAve_2,,100,30,30,1,100,50,547487,547657,262000,262070,1,2,1
92,,MarcusHook_2,,100,30,30,1,100,50,489142,489312,203655,203725,1,2,1
93,,Claymont_2,,100,30,30,1,100,50,499042,499212,213555,213625,1,2,1
94,,Wilmington_2,,100,30,30,1,100,50,515042,515212,229555,229625,1,2,1
95,,Churchmans_2,,100,30,30,1,100,50,528642,528812,243155,243225,1,2,1
96,,Newark_2,,100,30,30,1,100,50,552742,552912,267255,267325,1,2,1
97,,BaltPenn_2,,100,30,30,1,100,50,560242,560412,274755,274825,1,2,1
98,,30thSt_4,,100,30,30,1,100,50,565542,565712,280055,280125,1,4,1
99,,Perryville_2,,100,30,30,1,100,50,577042,577212,291555,291625,1,2,1
100,,Aberdeen_2,,100,30,30,1,100,50,586542,586712,301055,301125,1,2,1
