Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
39,,39,30301.123,34443.902,,,4142.779,2,0,,,,,,,,,
40,,40,34443.902,35174.795,,,730.893,2,1,1,,7,,,,,,
41,,41,35174.795,37323.687,,,2148.892,2,0,,,,,,,,,
42,,42,37323.687,37793.451,,,469.764,2,1,1,,7,,,,,,
43,,43,37793.451,54625.787,,,16832.336,2,0,,,,,,,,,
44,,44,54625.787,54980.093,,,354.306,2,1.57,1,,7,,,,,,
45,,45,54980.093,55421.854,,,441.761,2,1,1,,7,,,,,,
46,,46,55421.854,55773.882,,,352.028,2,1.57,1,,7,,,,,,
47,,47,55773.882,56120.02,,,346.138,2,0,,,,,,,,,
48,,48,56120.02,61015.456,,,4895.436,2,0,,,,,,,,,
49,,49,61015.456,61192.99,,,177.534,2,3.02,1,,7,,,,,,
50,,50,61192.99,61362.035,,,169.045,2,2.83,1,,7,,,,,,
51,,51,61362.035,61533.071,,,171.036,2,1.37,1,,7,,,,,,
52,,52,61533.071,61741.457,,,208.386,2,1.05,1,,7,,,,,,
53,,53,61741.457,61939.481,,,198.024,2,0.82,1,,7,,,,,,
54,,54,61939.481,62336.733,,,397.252,2,0,,,,,,,,,
55,,55,62336.733,62825.736,,,489.003,2,3.25,1,,7,,,,,,
56,,56,62825.736,63619.378,,,793.642,2,0,,,,,,,,,
57,,57,63619.378,63872.838,,,253.46,2,4,1,,7,,,,,,
58,,58,63872.838,63986.388,,,113.55,2,0,,,,,,,,,
59,,59,63986.388,64222.102,,,235.714,2,0.5,1,,7,,,,,,
60,,60,64222.102,64432.272,,,210.17,2,0,,,,,,,,,
61,,61,64432.272,64611.55,,,179.278,2,0.5,1,,7,,,,,,
62,,62,64611.55,65068.826,,,457.276,2,0,,,,,,,,,
63,,63,65068.826,65577.121,,,508.295,2,1,1,,7,,,,,,
64,,64,65577.121,65810.846,,,233.725,2,0,,,,,,,,,
65,,65,65810.846,66149.793,,,338.947,2,1,1,,7,,,,,,
66,,66,66149.793,66554.371,,,404.578,2,0,,,,,,,,,
67,,67,66554.371,66900.442,,,346.071,2,1,1,,7,,,,,,
68,,68,66900.442,67041.333,,,140.891,2,0,,,,,,,,,
69,,69,67041.333,67270.049,,,228.716,2,2.02,1,,7,,,,,,
70,,70,67270.049,67390.128,,,120.079,2,0,,,,,,,,,
71,,71,67390.128,67591.289,,,201.161,2,1.68,1,,7,,,,,,
72,,72,67591.289,67749.984,,,158.695,2,0,,,,,,,,,
73,,73,67749.984,67916.326,,,166.342,2,2.75,1,,7,,,,,,
74,,74,67916.326,68112.093,,,195.767,2,4,1,,7,,,,,,
75,,75,68112.093,68248.083,,,135.99,2,1.5,1,,7,,,,,,
76,,76,68248.083,68787.828,,,539.745,2,0,,,,,,,,,
77,,77,68787.828,68936.415,,,148.587,2,1.6,1,,7,,,,,,
78,,78,68936.415,69014.81,,,78.395,2,1.6,1,,7,,,,,,
79,,79,69014.81,69062.284,,,47.474,2,0,,,,,,,,,
80,,80,69062.284,69179.984,,,117.7,2,9.77,1,,7,,,,,,
81,,81,69179.984,69270.198,,,90.214,2,9.83,1,,7,,,,,,
82,,82,69270.198,69331.428,,,61.23,2,1.48,1,,7,,,,,,
83,,83,69331.428,69621.27,,,289.842,2,1.5,1,,7,,,,,,
84,,84,69621.27,69666.307,,,45.037,2,5.32,1,,7,,,,,,
85,,85,69666.307,69749.22,,,82.913,2,5.1,1,,7,,,,,,
86,,86,69749.22,69830.214,,,80.994,2,0,,,,,,,,,
87,,87,69830.214,69988.704,,,158.49,2,0,,,,,,,,,
88,,88,69988.704,70134.784,,,146.08,2,2,1,,7,,,,,,
89,,89,70134.784,70226.954,,,92.17,2,0,,,,,,,,,
90,,90,70226.954,70318.329,,,91.375,2,2.23,1,,7,,,,,,
91,,91,70318.329,70425.56,,,107.231,2,2.37,1,,7,,,,,,
92,,92,70425.56,70457.876,,,32.316,2,0,,,,,,,,,
93,,93,70457.876,70658.645,,,200.769,2,3,1,,7,,,,,,
94,,94,70658.645,70946.117,,,287.472,2,0,,,,,,,,,
95,,95,70946.117,71323.754,,,377.637,2,3,1,,7,,,,,,
96,,96,71323.754,71711.285,,,387.531,2,1.95,1,,7,,,,,,
97,,97,71711.285,72026.793,,,315.508,2,0,,,,,,,,,
98,,98,72026.793,72264.32,,,237.527,2,3.3,1,,7,,,,,,
99,,99,72264.32,73184.188,,,919.868,2,0,,,,,,,,,
100,,100,73184.188,73546.715,,,362.527,2,4,1,,7,,,,,,
101,,101,73546.715,73918.114,,,371.399,2,4.17,1,,7,,,,,,
102,,102,73918.114,74514.624,,,596.51,2,0,,,,,,,,,
103,,103,74514.624,74891.036,,,376.412,2,4.95,1,,7,,,,,,
104,,104,74891.036,75853.644,,,962.608,2,0,,,,,,,,,
105,,105,75853.644,76726.576,,,872.932,2,1.75,1,,7,,,,,,
106,,106,76726.576,85553.505,,,8826.929,2,0,,,,,,,,,
107,,107,85553.505,86647.684,,,1094.179,2,0,,,,,,,,,
108,,108,86647.684,87812.37,,,1164.686,2,1.55,1,,7,,,,,,
109,,109,87812.37,88368.133,,,555.763,2,0,,,,,,,,,
110,,110,88368.133,88898.148,,,530.015,2,1.25,1,,7,,,,,,
111,,111,88898.148,90029.115,,,1130.967,2,0,,,,,,,,,
112,,112,90029.115,90415.52,,,386.405,2,1.48,1,,7,,,,,,
113,,113,90415.52,90817.51,,,401.99,2,1.26,1,,7,,,,,,
114,,114,90817.51,91157.774,,,340.264,2,1.05,1,,7,,,,,,
115,,115,91157.774,92212.33,,,1054.556,2,0,,,,,,,,,
116,,116,92212.33,92809.057,,,596.727,2,0.98,1,,7,,,,,,
117,,117,92809.057,108904.152,,,16095.095,2,0,,,,,,,,,
118,,118,108904.152,110379.117,,,1474.965,2,0.58,1,,7,,,,,,
119,,119,110379.117,116455.406,,,6076.289,2,0,,,,,,,,,
120,,120,116455.406,116819.073,,,363.667,2,0,,,,,,,,,
121,,121,116819.073,119539.725,,,2720.652,2,0.35,1,,7,,,,,,
122,,122,119539.725,130784.935,,,11245.21,2,0,,,,,,,,,
123,,123,130784.935,133998.697,,,3213.762,2,0.42,1,,7,,,,,,
124,,124,133998.697,134536.306,,,537.609,2,0,,,,,,,,,
125,,125,134536.306,136265.492,,,1729.186,2,0.32,1,,7,,,,,,
126,,126,136265.492,137430.793,,,1165.301,2,0,,,,,,,,,
127,,127,137430.793,140537.57,,,3106.777,2,0.34,1,,7,,,,,,
128,,128,140537.57,141512.623,,,975.053,2,0,,,,,,,,,
129,,129,141512.623,144561.152,,,3048.529,2,0.47,1,,7,,,,,,
130,,130,144561.152,145301.107,,,739.955,2,0,,,,,,,,,
131,,131,145301.107,145772.278,,,471.171,2,0.78,1,,7,,,,,,
132,,132,145772.278,146158.023,,,385.745,2,0,,,,,,,,,
133,,133,146158.023,149149.44,,,2991.417,2,0.39,1,,7,,,,,,
134,,134,149149.44,150622.312,,,1472.872,2,0,,,,,,,,,
135,,135,150622.312,152368.333,,,1746.021,2,0.53,1,,7,,,,,,
136,,136,152368.333,156366.921,,,3998.588,2,0,,,,,,,,,
137,,137,156366.921,159002.514,,,2635.593,2,0.41,1,,7,,,,,,
138,,138,159002.514,159142.292,,,139.778,2,0,,,,,,,,,
139,,139,159142.292,160375.761,,,1233.469,2,0.52,1,,7,,,,,,
140,,140,160375.761,161741.307,,,1365.546,2,0,,,,,,,,,
141,,141,161741.307,163035.072,,,1293.765,2,0.52,1,,7,,,,,,
142,,142,163035.072,164001.459,,,966.387,2,0,,,,,,,,,
143,,143,164001.459,164262.935,,,261.476,2,0.35,1,,7,,,,,,
144,,144,164262.935,167959.234,,,3696.299,2,0,,,,,,,,,
145,,145,167959.234,171976.804,,,4017.57,2,0.52,1,,7,,,,,,
146,,146,171976.804,172846.447,,,869.643,2,0,,,,,,,,,
147,,147,172846.447,173204.605,,,358.158,2,0.85,1,,7,,,,,,
148,,148,173204.605,178086.459,,,4881.854,2,0,,,,,,,,,
149,,149,178086.459,182520.657,,,4434.198,2,0.41,1,,7,,,,,,
150,,150,182520.657,183448.341,,,927.684,2,0,,,,,,,,,
151,,151,183448.341,187778.99,,,4330.649,2,0.39,1,,7,,,,,,
152,,152,187778.99,188318.482,,,539.492,2,0,,,,,,,,,
153,,153,188318.482,189108.286,,,789.804,2,0.58,1,,7,,,,,,
154,,154,189108.286,191081.835,,,1973.549,2,0,,,,,,,,,
155,,155,191081.835,194635.675,,,3553.84,2,0.32,1,,7,,,,,,
156,,156,194635.675,197794.08,,,3158.405,2,0,,,,,,,,,
157,,157,197794.08,199868.8,,,2074.72,2,0.37,1,,7,,,,,,
158,,158,199868.8,200174.256,,,305.456,2,0,,,,,,,,,
159,,159,200174.256,201028.082,,,853.826,2,0.5,1,,7,,,,,,
160,,160,201028.082,204476.75,,,3448.668,2,0,,,,,,,,,
161,,161,204476.75,205147.652,,,670.902,2,0.5,1,,7,,,,,,
162,,162,205147.652,206257.09,,,1109.438,2,0,,,,,,,,,
163,,163,206257.09,207171.937,,,914.847,2,0.5,1,,7,,,,,,
164,,164,207171.937,208380.528,,,1208.591,2,0,,,,,,,,,
165,,165,208380.528,209117.212,,,736.684,2,0.5,1,,7,,,,,,
166,,166,209117.212,212921.758,,,3804.546,2,0,,,,,,,,,
167,,167,212921.758,214292.072,,,1370.314,2,0.44,1,,7,,,,,,
168,,168,214292.072,214317.476,,,25.404,2,0,,,,,,,,,
169,,169,214317.476,215105.553,,,788.077,2,0.58,1,,7,,,,,,
170,,170,215105.553,217967.814,,,2862.261,2,0,,,,,,,,,
171,,171,217967.814,218435.858,,,468.044,2,0.46,1,,7,,,,,,
172,,172,218435.858,221245.327,,,2809.469,2,0,,,,,,,,,
173,,173,221245.327,221999.055,,,753.728,2,0.48,1,,7,,,,,,
174,,174,221999.055,222832.338,,,833.283,2,0,,,,,,,,,
