Stop_id,Stop_name,Opposite_stop_id,Max_dwell,Min_dwell,Turnaround_time,Capacity,Length,Stop_location,East_bound,West_bound,East_bound_miles,West_bound_miles,Max_speed,Track,Is_turnaround
1,NewHaven_1,,100,0,30,1,100,50,0,100,,,1,1,1
2,WestHaven_1,,100,30,30,1,100,50,4300,4400,,,1,1,1
3,Milford_1,,100,30,30,1,100,50,14000,14100,,,1,1,1
4,Stratford_1,,100,30,30,1,100,50,21000,21100,,,1,1,1
5,Bridgeport_1,,100,30,30,1,100,50,27000,27100,,,1,1,1
6,FairfieldMetro_1,,100,30,30,1,100,50,32000,32100,,,1,1,1
7,Fairfield_1,,100,30,30,1,100,50,34600,34700,,,1,1,1
8,Southport_1,,100,30,30,1,100,50,38100,38200,,,1,1,1
9,GreensFarms_1,,100,30,30,1,100,50,40000,40100,,,1,1,1
10,Westport_1,,100,30,30,1,100,50,45000,45100,,,1,1,1
11,EastNorwalk_1,,100,30,30,1,100,50,48400,48500,,,1,1,1
12,WestNorwalk_1,,100,30,30,1,100,50,50400,50500,,,1,1,1
13,Rowayton_1,,100,30,30,1,100,50,53000,53100,,,1,1,1
14,Darien_1,,100,30,30,1,100,50,55300,55400,,,1,1,1
15,NorotonHeights_1,,100,30,30,1,100,50,58000,58100,,,1,1,1
16,Stamford_1,,100,30,30,1,100,50,62800,62900,,,1,1,1
17,OldGreenwich_1,,100,30,30,1,100,50,65400,65500,,,1,1,1
18,Riverside_1,,100,30,30,1,100,50,67200,67300,,,1,1,1
19,CosCob_1,,100,30,30,1,100,50,68200,68300,,,1,1,1
20,Greenwich_1,,100,30,30,1,100,50,70700,70800,,,1,1,1
21,PortChester_1,,100,30,30,1,100,50,74800,74900,,,1,1,1
22,Rye_1,,100,30,30,1,100,50,77300,77400,,,1,1,1
23,Harrison_1,,100,30,30,1,100,50,80400,80500,,,1,1,1
24,Mamaroneck_1,,100,30,30,1,100,50,82500,82600,,,1,1,1
25,Larchmont_1,,100,30,30,1,100,50,86000,86100,,,1,1,1
26,NewRochelle_1,,100,30,30,1,100,50,89100,89200,,,1,1,1
27,Pelham_1,,100,30,30,1,100,50,92100,92200,,,1,1,1
28,MtVernonEast_1,,100,30,30,1,100,50,93600,93700,,,1,1,1
29,Woodlawn_1,,100,30,30,1,100,50,97000,97100,,,1,1,1
30,WilliamsBridge_1,,100,30,30,1,100,50,99000,99100,,,1,1,1
31,BotanicalGarden_1,,100,30,30,1,100,50,100800,100900,,,1,1,1
32,Fordham_1,,100,30,30,1,100,50,101600,101700,,,1,1,1
33,Tremont_1,,100,30,30,1,100,50,103500,103600,,,1,1,1
34,Melrose_1,,100,30,30,1,100,50,106200,106300,,,1,1,1
35,Harlem125_1,,100,30,30,1,100,50,109400,109500,,,1,1,1
36,GrandCentral_1,,100,0,0,1,100,50,115630,115730,,,1,1,1
37,CoopCity_2,,100,30,30,1,100,50,5900,6000,,,1,2,1
38,MorrisPark_2,,100,30,30,1,100,50,8200,8300,,,1,2,1
