Section_id,Symmetry_id,Track_segment,Start_location,End_location,Start_location_mile,End_location_mile,length,Track_id,Curve_degree,Curve_direction,Cant_to_add,Cant,orig_cant,Max_speed,Max_speed_freight,Curve_radius,Max_speed_calc,Notes
651,120,480,414107.866,414324.733,,,216.867,2,1.940718157,1,,7,,,,2952,,
652,121,481,414324.733,414414.254,,,89.521,2,0,,,,,,,,,
653,122,482,414414.254,415011.176,,,596.922,2,1.940718157,1,,7,,,,2952,,
654,123,483,415011.176,417033.679,,,2022.503,2,0,,,,,,,,,
655,124,484,417033.679,417919.475,,,885.796,2,0.4,1,,7,,,,14322.5,,
656,125,485,417919.475,418572.189,,,652.714,2,2.6,1,,7,,,,2203.461538,,
657,126,486,418572.189,419731.535,,,1159.346,2,0,,,,,,,,,
658,127,487,419731.535,419853.81,,,122.275,2,0,,,,,,,,,
659,128,488,419853.81,419951.636,,,97.826,2,0,,,,,,,,,
660,129,489,419951.636,420038.622,,,86.986,2,0,,,,,,,,,
661,130,490,420038.622,420362.421,,,323.799,2,1.8,1,,7,,,,3182.777778,,
662,131,491,420362.421,420455.918,,,93.497,2,0,,,,,,,,,
663,132,492,420455.918,420529.014,,,73.096,2,0,,,,,,,,,
664,133,493,420529.014,420869.889,,,340.875,2,0,,,,,,,,,
665,134,494,420869.889,421163.334,,,293.445,2,2,1,,7,,,,2864.5,,
666,135,495,421163.334,421453.641,,,290.307,2,0,,,,,,,,,
667,136,496,421453.641,422354.396,,,900.755,2,0,,,,,,,,,
668,137,497,422354.396,422882.784,,,528.388,2,1.8,1,,7,,,,3182.777778,,
669,138,498,422882.784,423616.034,,,733.25,2,0,,,,,,,,,
670,139,499,423616.034,423838.438,,,222.404,2,1,1,,7,,,,5729,,
671,140,500,423838.438,424261.704,,,423.266,2,1,1,,7,,,,5729,,
672,141,501,424261.704,424587.015,,,325.311,2,0,,,,,,,,,
673,142,502,424587.015,425052.272,,,465.257,2,5.2,1,,7,,,,1101.730769,,
674,143,503,425052.272,425503.931,,,451.659,2,2.9,1,,7,,,,1975.517241,,
675,144,504,425503.931,425786.443,,,282.512,2,0,,,,,,,,,
676,145,505,425786.443,426316.497,,,530.054,2,2.9,1,,7,,,,1975.517241,,
677,146,506,426316.497,426666.219,,,349.722,2,0.4,1,,7,,,,14322.5,,
678,147,507,426666.219,426915.543,,,249.324,2,0,,,,,,,,,
679,148,508,426915.543,427016.153,,,100.61,2,1.8,1,,7,,,,3182.777778,,
680,149,509,427016.153,427215.33,,,199.177,2,1.8,1,,7,,,,3182.777778,,
681,0,510,427215.33,427950.238,,,734.908,2,1.5,1,,7,,,,3819.333333,,
682,1,511,427950.238,428308.475,,,358.237,2,4,1,,7,,,,1432.25,,
683,2,512,428308.475,428991.297,,,682.822,2,0,,,,,,,,,
684,3,513,428991.297,429439.606,,,448.309,2,2.15,1,,7,,,,2664.651163,,
685,4,514,429439.606,429869.822,,,430.216,2,2,1,,7,,,,2864.5,,
686,5,515,429869.822,430238.109,,,368.287,2,2.4,1,,7,,,,2387.083333,,
687,6,516,430238.109,430557.501,,,319.392,2,1.5,1,,7,,,,3819.333333,,
688,7,517,430557.501,430692.92,,,135.419,2,1.5,1,,7,,,,3819.333333,,
689,8,518,430692.92,434459.577,,,3766.657,2,0,,,,,,,,,
690,9,519,434459.577,435347.237,,,887.66,2,1.1,1,,7,,,,5208.181818,,
691,10,520,435347.237,436777.106,,,1429.869,2,1,1,,7,,,,5729,,
692,11,521,436777.106,437787.603,,,1010.497,2,1,1,,7,,,,5729,,
693,12,522,437787.603,440851.597,,,3063.994,2,0,,,,,,,,,
694,13,523,440851.597,441375.764,,,524.167,2,1,1,,7,,,,5729,,
695,14,524,441375.764,442707.694,,,1331.93,2,0,,,,,,,,,
696,15,525,442707.694,443401.552,,,693.858,2,1,1,,7,,,,5729,,
697,16,526,443401.552,444581.846,,,1180.294,2,0,,,,,,,,,
